AppName;Path;codetrans;Migrate;MotherApp
Gestion des Ayants-Droit en Santé Collectives;E:/inetpub/wwwroot/web/intranet/appli/SanteCollective_AyantsDroits;sant;0;
Gestion des données des Agences;E:/inetpub/wwwroot/web/intranet/appli/GestionPvGCM;Gag1;0;
Gestion des Environnements;E:/inetpub/wwwroot/web/intranet/appli/EnvironnementCommunautaire;Envc;0;
Gestion des Garages AutoPresto et DIAC;E:/inetpub/wwwroot/web/intranet/appli/VisaPilotage;Vgag,Vgap;0;
Gestion des Habilitations aux Habilitations ASR;E:/inetpub/wwwroot/web/intranet/appli/Habilitations;Habl;0;
Gestion des Modèles de Courriers Oasis;E:/inetpub/wwwroot/web/intranet/appli/courriers_Oasis;tsa1,tsa2,Coaw,Coas;0;
Gestion Des Photos Du Trombinoscope;E:/inetpub/wwwroot/web/intranet/appli/TrombiPhoto;Trop;0;
Gestion des Postes et du Recrutement;E:/inetpub/wwwroot/web/intranet/appli/Rh_Applis/recrutement;Gesr,Rec1,Rec2,Rec3,Rec5,Geso,Orcg,Orst;0;Rh_Applis
Gestion du bandeau SAU;E:/inetpub/wwwroot/web/intranet/appli/SAUBandeau;Dan0;0;
Gestion du menu des applications intranet;E:/inetpub/wwwroot/web/intranet/appli/GeneMenuAppli;Gmap;0;
Gestion du provisioning;E:/inetpub/wwwroot/web/intranet/appli/Provisioning;Pprv;0;
Gestion et Indemnisation des Elus;E:/inetpub/wwwroot/web/intranet/appli/gestiondeselus;Gelu,Geiu,Gecc;0;
Gestion Groupes Utilisateurs;E:/inetpub/wwwroot/web/intranet/appli/GestGroupeU;grpu,hsva;0;
Gestion logistique des Agences;E:/inetpub/wwwroot/web/intranet/appli/GestionPointsVente;Gpv,Gpv1;0;
Gestion messagerie Intranet;E:/inetpub/wwwroot/web/intranet/appli/MailArchive;mssg;0;
GFR AG CL;E:/inetpub/wwwroot/web/intranet/appli/GFRAGCL;;0;
GFR Extranet - Partenaires Santé;E:/inetpub/wwwroot/web/intranet/appli/Accessoires/partenaires;;0;
GHI - Gestion des Habilitations Informatiques;E:/inetpub/wwwroot/web/intranet/appli/GHI;Ighi,Ighp;0;
Géonosis;E:/inetpub/wwwroot/web/intranet/appli/Geonosis;;0;
Industrialisation Santé;E:/inetpub/wwwroot/web/intranet/appli/Indus_sante;;0;
Informations Administration des Ventes;E:/inetpub/wwwroot/web/intranet/appli/InfosAdmVente;;0;
Initialisation Code Utilisateur;E:/inetpub/wwwroot/web/intranet/appli/InitIdent;Hini;0;
Interrogation des MPD SIGMA;E:/inetpub/wwwroot/web/intranet/appli/MPDSigma;mpds,Mpda;0;
Ipilot;E:/inetpub/wwwroot/web/intranet/appli/IPilot_GCM;ipii;0;
Le Référentiel Webfocus;E:/inetpub/wwwroot/web/intranet/appli/RefWebFocus;rfwf;0;
